f_timestamp,f_id,cluster_data,f_u_id
2023-03-24 21:00:11.093,4669,"[[2.8023846, 9.08986, 'cam_133']]",4
2023-03-24 21:00:11.093,6821,"[[5.6222916, 5.0529623, 'cam_133']]",6
2023-03-24 21:00:11.168,2450,"[[1.8295785, 11.160201, 'cam_142']]",0
2023-03-24 21:00:11.232,1954,"[[1.7997532, 11.160525, 'cam_142']]",0
2023-03-24 21:00:11.305,6602,"[[1.7681991, 11.173577, 'cam_142']]",0
2023-03-24 21:00:11.337,8912,"[[2.8100057, 9.0991125, 'cam_133']]",4
2023-03-24 21:00:11.337,7948,"[[5.5062366, 5.217472, 'cam_133']]",6
2023-03-24 21:00:11.337,8836,"[[8.031128, 5.2989316, 'cam_133']]",0
2023-03-24 21:00:11.453,1355,"[[1.7534959, 11.167238, 'cam_142']]",0
2023-03-24 21:00:11.520,1061,"[[2.8155444, 9.056275, 'cam_133']]",4
2023-03-24 21:00:11.520,3715,"[[5.52714, 5.2291126, 'cam_133']]",0
2023-03-24 21:00:11.520,2661,"[[8.034739, 5.3123245, 'cam_133']]",0
2023-03-24 21:00:11.614,1848,"[[2.4163215, 13.450879, 'cam_151'], [3.1136968, 13.452368, 'cam_151']]",0
2023-03-24 21:00:11.689,3449,"[[3.086565, 13.468227, 'cam_151'], [2.4335208, 13.441893, 'cam_151']]",0
2023-03-24 21:00:11.776,7171,"[[2.4317207, 13.4422865, 'cam_151'], [3.106252, 13.4600725, 'cam_151']]",0
2023-03-24 21:00:11.846,9885,"[[13.21769, 4.2464576, 'cam_141']]",0
2023-03-24 21:00:11.907,9778,"[[7.852208, 5.7152095, 'cam_133']]",3
2023-03-24 21:00:11.907,6124,"[[2.7916176, 9.082739, 'cam_133']]",4
2023-03-24 21:00:11.907,9660,"[[5.5040884, 5.22332, 'cam_133']]",6
2023-03-24 21:00:12.001,2407,"[[7.773251, 5.8187904, 'cam_133']]",3
2023-03-24 21:00:12.001,2804,"[[5.5276694, 5.220792, 'cam_133']]",0
2023-03-24 21:00:12.001,9183,"[[2.784947, 9.0883875, 'cam_133']]",4
2023-03-24 21:00:12.067,8982,"[[7.7692046, 5.8179417, 'cam_133']]",0
